event_id,first_l0_time,last_l0_time,l0_count,cluster_low_time,stratum,overlay_flags,selection_reasons,why_selected,bars_available,right_censored,max_gain_close,final_return_close,max_drawdown_from_running_high,retracement_ratio_of_peak_gain,recovered_new_close_high_after_drawdown,first_positive_close_bar,n_up_legs_variant,n_down_legs_variant,btc_above_sma_share,sol_minus_btc_window_return,is_current_focus_case
L0C0001_20200817T150000Z,2020-08-17T15:00:00Z,2020-08-17T15:00:00Z,1,2020-08-17T15:00:00Z,S05_up_then_damage_break,S08_multi_attack_multi_pullback;S10_sol_strong_btc_weak;S12_early,stratum:S05_up_then_damage_break,按 S05_up_then_damage_break（上涨后逐步受损并破坏）层按时间均匀抽取,40,False,0.08571428571428563,-0.037092176116566455,0.26046047665264743,3.038705560947556,False,1,5,5,0.275,0.023215659025357605,False
L0C0002_20200903T150000Z,2020-09-03T15:00:00Z,2020-09-04T12:00:00Z,3,2020-09-04T12:00:00Z,S06_no_valid_up_outcome,S08_multi_attack_multi_pullback;S12_early,stratum:S06_no_valid_up_outcome,按 S06_no_valid_up_outcome（L0 后从未形成有效向上价格成果）层按时间均匀抽取,40,False,0.0036706196416653736,-0.35589609322860516,0.482029702970297,131.32107110711104,False,1,9,10,0.075,-0.30031523827519613,False
L0C0003_20200913T120000Z,2020-09-13T12:00:00Z,2020-09-13T12:00:00Z,1,2020-09-13T12:00:00Z,S07_brief_up_then_fail,S08_multi_attack_multi_pullback;S09_btc_strong_sol_weak;S12_early,stratum:S07_brief_up_then_fail,按 S07_brief_up_then_fail（L0 后短暂上涨随后失败）层按时间均匀抽取,40,False,0.06387672139413225,-0.03422304856143432,0.33320148051874665,5.216320957721457,False,1,8,7,0.8,-0.09741858396267289,False
L0C0004_20200916T000000Z,2020-09-16T00:00:00Z,2020-09-16T00:00:00Z,1,2020-09-16T00:00:00Z,S04_deep_pullback_recover,S08_multi_attack_multi_pullback;S12_early,stratum:S04_deep_pullback_recover,按 S04_deep_pullback_recover（上涨后深度回调但最终恢复）层按时间均匀抽取,40,False,0.15657832551714113,0.040753262805831136,0.1943467722664118,1.241211206113812,True,14,7,7,0.725,0.02361700543597367,False
L0C0006_20200921T090000Z,2020-09-21T09:00:00Z,2020-09-21T12:00:00Z,2,2020-09-21T09:00:00Z,S03_up_normal_pullback_recover,S08_multi_attack_multi_pullback;S10_sol_strong_btc_weak;S12_early,stratum:S03_up_normal_pullback_recover,按 S03_up_normal_pullback_recover（上涨后正常回调再恢复）层按时间均匀抽取,40,False,0.2216538138505002,0.19378483622203535,0.12618122977346277,0.5692716384233694,True,1,8,8,0.35,0.1886581353522918,False
L0C0009_20201005T030000Z,2020-10-05T03:00:00Z,2020-10-05T03:00:00Z,1,2020-10-05T03:00:00Z,S09_other_mixed,S08_multi_attack_multi_pullback;S12_early,stratum:S09_other_mixed,按 S09_other_mixed（其他混合路径）层按时间均匀抽取,40,False,0.050251455272640966,0.02324476299845557,0.2499813641446141,4.974609447394743,False,2,7,6,0.625,-0.042990072409584634,False
L0C0012_20201020T000000Z,2020-10-20T00:00:00Z,2020-10-20T00:00:00Z,1,2020-10-20T00:00:00Z,S06_no_valid_up_outcome,S08_multi_attack_multi_pullback;S09_btc_strong_sol_weak;S12_early,overlay:S09_btc_strong_sol_weak,覆盖叠加层 S09_btc_strong_sol_weak,40,False,0.0009676795045479025,-0.07383394619701966,0.1272511848341232,131.5013744076089,True,19,5,6,0.975,-0.1925870125496918,False
L0C0019_20201102T120000Z,2020-11-02T12:00:00Z,2020-11-02T12:00:00Z,1,2020-11-02T12:00:00Z,S02_chop_then_up,S08_multi_attack_multi_pullback;S12_early,stratum:S02_chop_then_up,按 S02_chop_then_up（L0 后震荡后上涨）层按时间均匀抽取,40,False,0.6080691642651297,0.6080691642651297,0.19725796245517815,0.32440053541207026,True,28,4,4,0.8,0.45607287656211337,False
L0C0032_20210325T000000Z,2021-03-25T00:00:00Z,2021-03-26T03:00:00Z,4,2021-03-26T03:00:00Z,S01_direct_steady_up,S08_multi_attack_multi_pullback;S12_early,stratum:S01_direct_steady_up,按 S01_direct_steady_up（L0 后直接稳定上涨）层按时间均匀抽取,40,False,0.43740127121499106,0.4187298331249578,0.10402755426748911,0.2378309372044728,True,1,6,6,0.65,0.31577199357660146,False
L0C0082_20220214T180000Z,2022-02-14T18:00:00Z,2022-02-14T18:00:00Z,1,2022-02-14T18:00:00Z,S05_up_then_damage_break,S08_multi_attack_multi_pullback,stratum:S05_up_then_damage_break,按 S05_up_then_damage_break（上涨后逐步受损并破坏）层按时间均匀抽取,40,False,0.11261071277941781,-0.03901307465204562,0.16233336484825567,1.4415445994577332,False,1,3,2,0.45,0.009304749935145185,False
L0C0121_20220704T030000Z,2022-07-04T03:00:00Z,2022-07-04T03:00:00Z,1,2022-07-04T03:00:00Z,S03_up_normal_pullback_recover,S08_multi_attack_multi_pullback,stratum:S03_up_normal_pullback_recover,按 S03_up_normal_pullback_recover（上涨后正常回调再恢复）层按时间均匀抽取,40,False,0.18071189534529974,0.17188926072406474,0.10705596107055963,0.5924123637019013,True,1,3,3,0.925,0.04390913407015162,False
L0C0157_20221222T180000Z,2022-12-22T18:00:00Z,2022-12-23T06:00:00Z,3,2022-12-22T21:00:00Z,S06_no_valid_up_outcome,S09_btc_strong_sol_weak,stratum:S06_no_valid_up_outcome,按 S06_no_valid_up_outcome（L0 后从未形成有效向上价格成果）层按时间均匀抽取,40,False,0.008375209380234505,-0.09547738693467323,0.11560693641618486,13.803468208092474,False,2,1,1,0.775,-0.08941592133760234,False
L0C0171_20230308T180000Z,2023-03-08T18:00:00Z,2023-03-08T18:00:00Z,1,2023-03-08T18:00:00Z,S04_deep_pullback_recover,S08_multi_attack_multi_pullback,stratum:S04_deep_pullback_recover,按 S04_deep_pullback_recover（上涨后深度回调但最终恢复）层按时间均匀抽取,40,False,0.08306878306878307,0.08306878306878307,0.15611814345991565,1.8793840199951628,True,33,3,3,0.4,-0.007778526089156301,False
L0C0184_20230427T120000Z,2023-04-27T12:00:00Z,2023-04-27T21:00:00Z,2,2023-04-27T12:00:00Z,S05_up_then_damage_break,,stratum:S05_up_then_damage_break,按 S05_up_then_damage_break（上涨后逐步受损并破坏）层按时间均匀抽取,40,False,0.08249312557286892,0.007332722273143855,0.10212588578574404,1.2379926821360752,False,1,2,1,0.475,0.03803933573447915,False
L0C0255_20240624T090000Z,2024-06-24T09:00:00Z,2024-06-24T18:00:00Z,3,2024-06-24T09:00:00Z,S03_up_normal_pullback_recover,S10_sol_strong_btc_weak,stratum:S03_up_normal_pullback_recover,按 S03_up_normal_pullback_recover（上涨后正常回调再恢复）层按时间均匀抽取,40,False,0.17816951286692384,0.11946171401589689,0.08392302096422193,0.4710290757033425,True,1,2,1,0.275,0.12451816922738879,False
L0C0258_20240712T090000Z,2024-07-12T09:00:00Z,2024-07-12T09:00:00Z,1,2024-07-12T09:00:00Z,S01_direct_steady_up,,stratum:S01_direct_steady_up,按 S01_direct_steady_up（L0 后直接稳定上涨）层按时间均匀抽取,40,False,0.1952082565425728,0.19388131220051585,0.04774684808388469,0.2445944087076646,True,1,1,1,0.925,0.05444780860965426,False
L0C0287_20250202T030000Z,2025-02-02T03:00:00Z,2025-02-03T12:00:00Z,6,2025-02-03T00:00:00Z,S06_no_valid_up_outcome,S08_multi_attack_multi_pullback;S11_recent,stratum:S06_no_valid_up_outcome,按 S06_no_valid_up_outcome（L0 后从未形成有效向上价格成果）层按时间均匀抽取,40,False,0.01879504451457925,-0.08196335201846539,0.18490198804393163,9.837805273645603,True,1,5,4,0.35,-0.05519602127195189,False
L0C0364_20260210T210000Z,2026-02-10T21:00:00Z,2026-02-10T21:00:00Z,1,2026-02-10T21:00:00Z,S04_deep_pullback_recover,S08_multi_attack_multi_pullback;S11_recent,stratum:S04_deep_pullback_recover,按 S04_deep_pullback_recover（上涨后深度回调但最终恢复）层按时间均匀抽取,40,False,0.08061212194240275,0.03482347270755515,0.09230951534542015,1.1451071268335447,True,1,3,3,0.475,0.0405074161664879,False
L0C0368_20260223T030000Z,2026-02-23T03:00:00Z,2026-02-23T03:00:00Z,1,2026-02-23T03:00:00Z,S05_up_then_damage_break,S08_multi_attack_multi_pullback;S11_recent,stratum:S05_up_then_damage_break,按 S05_up_then_damage_break（上涨后逐步受损并破坏）层按时间均匀抽取,40,False,0.14823378291586398,0.055234425176621915,0.12790445168295334,0.8628562879998187,False,1,3,2,0.475,0.04155350175309458,False
L0C0388_20260625T120000Z,2026-06-25T12:00:00Z,2026-06-25T15:00:00Z,2,2026-06-25T12:00:00Z,S03_up_normal_pullback_recover,S10_sol_strong_btc_weak;S11_recent,stratum:S03_up_normal_pullback_recover,按 S03_up_normal_pullback_recover（上涨后正常回调再恢复）层按时间均匀抽取,40,False,0.13577456298975288,0.10608800482218217,0.07080673244341258,0.5215021936675759,True,1,2,3,0.35,0.11077596460123607,False
L0C0396_20260729T210000Z,2026-07-29T21:00:00Z,2026-07-30T03:00:00Z,2,2026-07-29T21:00:00Z,S06_no_valid_up_outcome,S11_recent,stratum:S06_no_valid_up_outcome,按 S06_no_valid_up_outcome（L0 后从未形成有效向上价格成果）层按时间均匀抽取,40,False,0.014657980456026065,0.0024429967426709,0.0625581086465667,4.267853189887993,False,1,2,2,0.45,0.005707079733055398,False
L0C0399_20260910T120000Z,2026-09-10T12:00:00Z,2026-09-10T12:00:00Z,1,2026-09-10T12:00:00Z,S09_other_mixed,S11_recent,stratum:S09_other_mixed,按 S09_other_mixed（其他混合路径）层按时间均匀抽取,40,False,0.037620995908592025,0.006486378604929621,0.07372400756143664,1.9596506094778654,True,8,2,2,0.375,0.01258362372232158,False
L0C0400_20260911T060000Z,2026-09-11T06:00:00Z,2026-09-11T06:00:00Z,1,2026-09-11T06:00:00Z,S07_brief_up_then_fail,S08_multi_attack_multi_pullback;S11_recent,stratum:S07_brief_up_then_fail,按 S07_brief_up_then_fail（L0 后短暂上涨随后失败）层按时间均匀抽取,40,False,0.04052836985890118,-0.027018913239267528,0.09432892249527414,2.327478820975989,False,2,3,2,0.375,-0.008885115406063293,False
L0C0401_20260916T210000Z,2026-09-16T21:00:00Z,2026-09-16T21:00:00Z,1,2026-09-16T21:00:00Z,S01_direct_steady_up,S11_recent,stratum:S01_direct_steady_up;mandatory:current_case,按 S01_direct_steady_up（L0 后直接稳定上涨）层按时间均匀抽取；任务指定必须包含的当前重点案例,38,True,0.1965335495641598,0.1965335495641598,0.06053184044786553,0.30799749244901553,True,1,2,1,0.9210526315789473,0.07005887912806164,True
